id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,profitability,risk_flag,income_to_loan_ratio,year_wise_default_rate_indicator
1610937,2012,01-11-2012,03-08-4944,5,RENT,1,Low,40000,1,1200, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,17.77,D,4,8.64,1556.743042,1200,0,43.25,munster,356.743042,1,33.3333333333333333,0.16
34482247,2014,01-11-2014,20-10-4670,1,MORTGAGE,3,Medium,120000,2,24000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,9.49,B,2,25.08,10748.87,8534.39,0,768.68,munster,-13251.13,1,5.0000000000000000,0.08
554342,2010,01-07-2010,10-09-4807,4,MORTGAGE,3,Low,48000,1,2100, 60 months,2,INDIVIDUAL,1,CAR,2,High,2,BAD LOAN,1,13.61,C,3,18.5,2234.31,1469.99,0,48.44,Northern-Irl,134.31,0,22.8571428571428571,0.15
7624822,2013,01-10-2013,27-01-4835,10,MORTGAGE,3,Low,47000,1,8400, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,BAD LOAN,1,9.99,B,2,11.9,6491.73,4592.33,802.04,271.01,leinster,-1908.27,0,5.5952380952380952,0.14
1424440,2012,01-08-2012,20-10-4670,10,MORTGAGE,3,Low,69000,1,18250, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,20.49,E,5,31.04,27925.01997,18250,0,488.51,cannught,9675.01997,1,3.7808219178082192,0.16
2934688,2013,01-01-2013,24-04-4780,6.05,MORTGAGE,3,Low,60000,1,18000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,13.11,B,2,23.22,20576.92891,18000,0,607.45,cannught,2576.92891,1,3.3333333333333333,0.14
26919517,2014,01-09-2014,20-10-4670,10,MORTGAGE,3,Medium,107000,2,22000, 60 months,2,INDIVIDUAL,1,CREDIT_CARD,1,High,2,GOOD LOAN,0,17.57,D,4,19.44,8856.48,4138.36,0,553.53,leinster,-13143.52,1,4.8636363636363636,0.08
7917504,2013,01-10-2013,20-10-4670,2,RENT,1,Low,50000,1,10000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,19.2,D,4,5.14,9923.06,6941.03,0,367.58,Northern-Irl,-76.94,1,5.0000000000000000,0.14
863842,2011,01-09-2011,17-03-4917,5,MORTGAGE,3,Medium,136000,2,25000, 60 months,2,INDIVIDUAL,1,CREDIT_CARD,1,High,2,GOOD LOAN,0,20.62,F,6,9.43,37402.17379,25000,0,671.01,leinster,12402.17379,1,5.4400000000000000,0.15
1276825,2012,01-05-2012,17-10-4670,2,RENT,1,Low,59339,1,12500, 36 months,1,INDIVIDUAL,1,CAR,2,Low,1,GOOD LOAN,0,6.03,A,1,14.82,12719.58,12500,0,380.45,leinster,219.58,1,4.7471200000000000,0.16
7905516,2013,01-10-2013,23-07-4725,10,RENT,1,Low,47700,1,10000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,BAD LOAN,1,21,E,5,31.8,7514.44,3953.81,1111.36,376.76,ulster,-2485.56,0,4.7700000000000000,0.14
443913,2009,01-10-2009,16-12-4971,0.5,RENT,1,Low,90000,1,20000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,13.57,C,3,5.13,24049.44,19999.99,0,679.37,ulster,4049.44,1,4.5000000000000000,0.14
1152850,2012,01-02-2012,23-07-4725,5,OWN,2,Low,30000,1,8000, 36 months,1,INDIVIDUAL,1,HOUSE,12,High,2,GOOD LOAN,0,13.99,C,3,4.85,9836.825384,8000,0,273.39,cannught,1836.825384,1,3.7500000000000000,0.16
35713573,2014,01-12-2014,20-10-4670,9,RENT,1,Low,46500,1,8500, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,11.44,B,2,16.11,3635.38,2740.64,0,280.06,ulster,-4864.62,1,5.4705882352941176,0.08
25237902,2014,01-08-2014,20-10-4670,4,RENT,1,Low,74000,1,12000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,13.98,C,3,5.69,4465.6,2434.54,0,279.1,Northern-Irl,-7534.4,1,6.1666666666666667,0.08
5155531,2013,01-05-2013,14-06-4862,6,OWN,2,Low,55000,1,4800, 36 months,1,INDIVIDUAL,1,HOME_IMPROVEMENT,7,High,2,GOOD LOAN,0,15.8,C,3,11.13,5981.03,4800,0,168.29,cannught,1181.03,1,11.4583333333333333,0.14
25556969,2014,01-08-2014,20-12-4971,7,MORTGAGE,3,Low,75000,1,10725, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,7.69,A,1,4.11,5352.96,4463.96,0,334.56,leinster,-5372.04,1,6.9930069930069930,0.08
359757,2008,01-10-2008,30-07-4944,2,MORTGAGE,3,Low,49000,1,20000, 36 months,1,INDIVIDUAL,1,SMALL_BUSINESS,3,High,2,GOOD LOAN,0,15.57,E,5,12.39,25158.84,20000,0,698.91,Northern-Irl,5158.84,1,2.4500000000000000,0.19
7386126,2013,01-09-2013,29-10-4889,10,MORTGAGE,3,Low,55000,1,1500, 36 months,1,INDIVIDUAL,1,MAJOR_PURCHASE,8,High,2,BAD LOAN,1,16.2,C,3,22.36,788.6,422.05,154.02,52.89,ulster,-711.4,0,36.6666666666666667,0.14
4384641,2013,01-04-2013,20-12-4971,0.5,MORTGAGE,3,Low,95000,1,11000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,10.16,B,2,27.61,11371.44,9596.58,0,355.77,leinster,371.44,1,8.6363636363636364,0.14
5646781,2013,01-06-2013,20-10-4670,10,MORTGAGE,3,Low,88000,1,16375, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,23.83,F,6,7.3,14552.77,6100.6,0,469.47,leinster,-1822.23,1,5.3740458015267176,0.14
1011087,2011,01-11-2011,15-03-4917,5,MORTGAGE,3,Low,48000,1,27600, 60 months,2,INDIVIDUAL,1,SMALL_BUSINESS,3,Low,1,BAD LOAN,1,11.71,B,2,17.45,8068.72,3928.05,1370.93,609.91,leinster,-19531.28,0,1.7391304347826087,0.15
5426028,2013,01-06-2013,20-10-4670,10,MORTGAGE,3,Low,60000,1,2500, 36 months,1,INDIVIDUAL,1,OTHER,4,High,2,GOOD LOAN,0,19.05,D,4,11.82,2843.01,2062.8,0,91.71,Northern-Irl,343.01,1,24.0000000000000000,0.14
1506260,2012,01-09-2012,04-03-4698,2,RENT,1,Low,75000,1,10000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,High,2,BAD LOAN,1,18.49,D,4,22.8,2326.48,1078.87,512.43,363.99,ulster,-7673.52,0,7.5000000000000000,0.16
5875698,2013,01-07-2013,20-10-4670,4,MORTGAGE,3,Low,84333,1,8800, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,14.33,C,3,11.23,9059.1,7056.28,0,302.18,munster,259.1,1,9.5832954545454545,0.14
408248,2009,01-06-2009,08-09-4807,5,RENT,1,Low,56472,1,11300, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,High,2,GOOD LOAN,0,14.42,D,4,22.29,13975.1,11299.99,0,388.53,leinster,2675.1,1,4.9975221238938053,0.14
471016,2009,01-12-2009,23-01-4835,10,MORTGAGE,3,Medium,105000,2,24000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,12.87,C,3,19.06,27677.97,23999.98,0,807.2,leinster,3677.97,1,4.3750000000000000,0.14
8024762,2013,01-11-2013,07-12-4752,7,MORTGAGE,3,Low,70000,1,11200, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,BAD LOAN,1,19.2,D,4,12.86,2973.21,581.15,1514.36,291.77,ulster,-8226.79,0,6.2500000000000000,0.14
442405,2009,01-09-2009,23-01-4835,10,MORTGAGE,3,Low,80000,1,20000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,11.83,B,2,9.11,23110.18,20000,0,662.68,leinster,3110.18,1,4.0000000000000000,0.14
3286866,2013,01-02-2013,29-10-4889,3,MORTGAGE,3,Low,41000,1,6500, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,8.9,A,1,34.77,7138.569377,6500,0,206.4,leinster,638.569377,1,6.3076923076923077,0.14
9815779,2013,01-12-2013,20-10-4670,10,RENT,1,Low,57000,1,10500, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,14.47,C,3,14.48,9031.63,6799.19,0,361.27,leinster,-1468.37,1,5.4285714285714286,0.14
37790553,2014,01-12-2014,20-10-4670,10,MORTGAGE,3,Low,70000,1,2400, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,12.99,C,3,5.57,1047.72,761.67,0,80.86,cannught,-1352.28,1,29.1666666666666667,0.08
7639423,2013,01-10-2013,29-10-4889,0.5,OWN,2,Low,61516,1,12500, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,High,2,GOOD LOAN,0,16.2,C,3,24.42,14100.06167,12500,0,440.7,leinster,1600.06167,1,4.9212800000000000,0.14
27611858,2014,01-10-2014,03-08-4944,10,RENT,1,Low,19000,1,6775, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,17.57,D,4,39.55,7924.86,6775,0,243.48,cannught,1149.86,1,2.8044280442804428,0.08
706255,2011,01-03-2011,12-06-4862,2,RENT,1,Low,45000,1,12000, 36 months,1,INDIVIDUAL,1,VACATION,11,Low,1,GOOD LOAN,0,5.79,A,1,0.8,13037.54,12000,0,363.93,ulster,1037.54,1,3.7500000000000000,0.15
852831,2011,01-08-2011,29-10-4889,0.5,RENT,1,Low,50000,1,12000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,10.59,B,2,18.58,14057.27461,12000,0,390.54,ulster,2057.27461,1,4.1666666666666667,0.15
5937985,2013,01-07-2013,18-03-4917,2,RENT,1,Low,53000,1,15000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,High,2,BAD LOAN,1,19.52,D,4,31.81,14952.37,10378.57,0,553.8,ulster,-47.63,0,3.5333333333333333,0.14
9804960,2013,01-12-2013,26-01-4835,8,RENT,1,Low,80000,1,1400, 36 months,1,INDIVIDUAL,1,CAR,2,Low,1,GOOD LOAN,0,12.85,B,2,23.81,1497.576745,1400,0,47.08,ulster,97.576745,1,57.1428571428571429,0.14
3727426,2013,01-03-2013,20-10-4670,7,MORTGAGE,3,Medium,110000,2,12000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,12.12,B,2,17.97,13171.62,10823.12,0,399.26,leinster,1171.62,1,9.1666666666666667,0.14
7336854,2013,01-09-2013,20-12-4971,10,RENT,1,Low,90000,1,16000, 36 months,1,INDIVIDUAL,1,HOME_IMPROVEMENT,7,Low,1,GOOD LOAN,0,9.99,B,2,10.63,13937.4,11541.83,0,516.2,ulster,-2062.6,1,5.6250000000000000,0.14
593880,2010,01-10-2010,18-03-4917,6,RENT,1,Low,54000,1,6400, 60 months,2,INDIVIDUAL,1,VACATION,11,High,2,GOOD LOAN,0,17.19,E,5,10.04,9573.409491,6400,0,159.72,ulster,3173.409491,1,8.4375000000000000,0.15
28993413,2014,01-10-2014,14-06-4862,8,RENT,1,High,1100000,3,25000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,14.49,C,3,2.33,27674.94,25000,0,860.41,leinster,2674.94,1,44.0000000000000000,0.08
28594195,2014,01-10-2014,20-10-4670,7,RENT,1,Low,59100,1,15000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,15.61,D,4,18.76,7862.7,5416.56,0,524.48,ulster,-7137.3,1,3.9400000000000000,0.08
5825205,2013,01-07-2013,02-08-4944,2,MORTGAGE,3,Low,100000,1,28000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,16.29,C,3,23.16,33548.42892,28000,0,685.23,cannught,5548.42892,1,3.5714285714285714,0.14
6646924,2013,01-08-2013,24-04-4780,0.5,OWN,2,Low,33000,1,3000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,13.05,B,2,29.31,3266.11,3000,0,101.16,Northern-Irl,266.11,1,11.0000000000000000,0.14
8967736,2013,01-11-2013,14-06-4862,10,RENT,1,Low,71901,1,13200, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,10.99,B,2,21.58,15113.0343,13200,0,432.09,Northern-Irl,1913.0343,1,5.4470454545454545,0.14
9264752,2013,01-12-2013,14-06-4862,3,MORTGAGE,3,Low,80000,1,22000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,12.99,B,2,17.19,25581.18938,22000,0,741.17,ulster,3581.18938,1,3.6363636363636364,0.14
34782810,2014,01-11-2014,20-10-4670,8,MORTGAGE,3,Low,31000,1,13625, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,21.99,E,5,38.6,5250.71,1999.2,0,376.24,leinster,-8374.29,1,2.2752293577981651,0.08
1293973,2012,01-05-2012,11-09-4807,8,MORTGAGE,3,Low,89000,1,11200, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,10.74,B,2,9.78,13146.96951,11200,0,365.3,leinster,1946.96951,1,7.9464285714285714,0.16
5630130,2013,01-06-2013,20-12-4971,5,MORTGAGE,3,Low,42000,1,12000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,15.31,C,3,24.4,12533.5,9600.94,0,417.81,Northern-Irl,533.5,1,3.5000000000000000,0.14
8995140,2013,01-12-2013,20-10-4670,10,MORTGAGE,3,Medium,122000,2,25000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,7.9,A,1,10.82,19554.26,16723.92,0,782.26,ulster,-5445.74,1,4.8800000000000000,0.14
2084725,2012,01-12-2012,23-07-4725,6,MORTGAGE,3,Low,55000,1,6000, 36 months,1,INDIVIDUAL,1,WEDDING,5,High,2,GOOD LOAN,0,17.77,D,4,28.42,7615.614319,6000,0,216.23,leinster,1615.614319,1,9.1666666666666667,0.16
9194727,2013,01-12-2013,20-10-4670,6,RENT,1,Low,55000,1,15000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,8.9,A,1,11.15,11907.5,9986.62,0,476.3,ulster,-3092.5,1,3.6666666666666667,0.14
25516948,2014,01-09-2014,20-10-4670,6,RENT,1,Low,62000,1,12000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,10.99,B,2,19.65,6284.96,4851.17,0,392.81,ulster,-5715.04,1,5.1666666666666667,0.08
3348813,2013,01-02-2013,20-10-4670,10,RENT,1,Low,36344,1,11000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,12.12,B,2,14.23,12807.37,10636.07,0,365.99,cannught,1807.37,1,3.3040000000000000,0.14
3285388,2013,01-02-2013,17-03-4917,2,MORTGAGE,3,Low,35000,1,11100, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,High,2,BAD LOAN,1,14.33,C,3,28.14,8403.04,5574.67,785.72,381.16,munster,-2696.96,0,3.1531531531531532,0.14
26289818,2014,01-09-2014,19-12-4971,4,MORTGAGE,3,Low,52000,1,15000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,25.57,F,6,21.02,15377.1,14999.99,0,445.3,Northern-Irl,377.1,1,3.4666666666666667,0.08
1386682,2012,01-07-2012,20-10-4670,2,RENT,1,Low,54000,1,25000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,14.09,B,2,32.84,24476.97,15590.5,0,582.88,ulster,-523.03,1,2.1600000000000000,0.16
1690469,2012,01-11-2012,14-06-4862,3,RENT,1,Low,35000,1,6325, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,BAD LOAN,1,18.49,D,4,14.67,7597.59,5655.44,0,230.23,ulster,1272.59,0,5.5335968379446640,0.16
1456956,2012,01-08-2012,14-06-4862,10,MORTGAGE,3,Low,60000,1,23500, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,21,E,5,14.01,31870.11286,23500,0,885.37,munster,8370.11286,1,2.5531914893617021,0.16
1007839,2011,01-11-2011,02-08-4944,8,MORTGAGE,3,Low,77000,1,12000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,7.9,A,1,19.56,13517.30178,12000,0,375.49,ulster,1517.30178,1,6.4166666666666667,0.15
2078913,2012,01-11-2012,06-03-4698,2,OWN,2,Low,60000,1,19300, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,BAD LOAN,1,7.9,A,1,13.28,15697.74,13471,0,603.91,Northern-Irl,-3602.26,0,3.1088082901554404,0.16
3185619,2013,01-02-2013,24-04-4780,10,MORTGAGE,3,Low,24000,1,5750, 36 months,1,INDIVIDUAL,1,HOME_IMPROVEMENT,7,High,2,GOOD LOAN,0,19.05,D,4,25.55,6902.158343,5750,0,210.92,leinster,1152.158343,1,4.1739130434782609,0.14
1072053,2011,01-12-2011,19-10-4670,9,RENT,1,Low,48000,1,3000, 36 months,1,INDIVIDUAL,1,CAR,2,High,2,GOOD LOAN,0,18.64,E,5,5.35,3938.144334,3000,0,109.43,ulster,938.144334,1,16.0000000000000000,0.15
30315108,2014,01-10-2014,20-10-4670,10,RENT,1,Low,79678,1,31000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,15.61,D,4,34.75,16191.44,11193.97,0,1083.91,leinster,-14808.56,1,2.5702580645161290,0.08
7689185,2013,01-10-2013,20-12-4971,10,MORTGAGE,3,Medium,126000,2,20000, 36 months,1,INDIVIDUAL,1,HOME_IMPROVEMENT,7,Low,1,GOOD LOAN,0,11.99,B,2,6.69,17268.76,13708.93,0,664.2,ulster,-2731.24,1,6.3000000000000000,0.14
34812935,2014,01-11-2014,20-10-4670,10,MORTGAGE,3,High,215000,3,26000, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,7.49,A,1,12.72,11304.87,9425.59,0,808.65,leinster,-14695.13,1,8.2692307692307692,0.08
5945947,2013,01-07-2013,20-10-4670,9,MORTGAGE,3,Low,48000,1,20000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,6.03,A,1,18.65,18259.85,16409.94,0,608.72,leinster,-1740.15,1,2.4000000000000000,0.14
36220869,2014,01-12-2014,20-10-4670,6.05,RENT,1,Low,46620,1,20000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,11.44,B,2,30.61,8553.64,6448.37,0,658.95,Northern-Irl,-11446.36,1,2.3310000000000000,0.08
26220204,2014,01-09-2014,20-10-4670,2,OWN,2,Low,93000,1,18000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,7.69,A,1,18.68,8983.84,7491.8,0,561.49,Northern-Irl,-9016.16,1,5.1666666666666667,0.08
5615470,2013,01-06-2013,03-08-4944,10,MORTGAGE,3,Medium,102000,2,11625, 36 months,1,INDIVIDUAL,1,CREDIT_CARD,1,Low,1,GOOD LOAN,0,10.16,B,2,13.71,13474.28,11625,0,375.98,Northern-Irl,1849.28,1,8.7741935483870968,0.14
30115366,2014,01-10-2014,03-08-4944,1,MORTGAGE,3,Medium,115000,2,20000, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,25.8,G,7,13.69,22645.09,20000,0,596.45,Northern-Irl,2645.09,1,5.7500000000000000,0.08
6786671,2013,01-08-2013,20-12-4971,10,MORTGAGE,3,Low,90000,1,21600, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,6.03,A,1,19.16,18407.48,16457.78,0,657.41,ulster,-3192.52,1,4.1666666666666667,0.14
5714809,2013,01-06-2013,25-04-4780,1,MORTGAGE,3,Medium,145000,2,35000, 60 months,2,INDIVIDUAL,1,HOME_IMPROVEMENT,7,High,2,GOOD LOAN,0,15.8,C,3,7.14,44172.39733,35000,0,847.42,ulster,9172.39733,1,4.1428571428571429,0.14
27620803,2014,01-09-2014,20-10-4670,10,MORTGAGE,3,Low,60000,1,24925, 60 months,2,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,High,2,GOOD LOAN,0,25.83,G,7,38.04,12051.67,4099.62,0,743.76,munster,-12873.33,1,2.4072216649949850,0.08
32359256,2014,01-10-2014,08-12-4752,1,RENT,1,Low,61800,1,7000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,8.39,A,1,19.34,7284.21,7000,0,220.62,ulster,284.21,1,8.8285714285714286,0.08
5617219,2013,01-06-2013,10-09-4807,4,RENT,1,Low,39000,1,7500, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,13.11,B,2,27.75,8354.434091,7500,0,253.11,munster,854.434091,1,5.2000000000000000,0.14
3845246,2013,01-04-2013,20-10-4670,10,MORTGAGE,3,Medium,110875,2,13750, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,10.16,B,2,24.84,14668.33,12432.81,0,444.71,cannught,918.33,1,8.0636363636363636,0.14
9715813,2013,01-12-2013,06-03-4698,0.5,MORTGAGE,3,Low,45000,1,18225, 60 months,2,INDIVIDUAL,1,CREDIT_CARD,1,High,2,BAD LOAN,1,17.57,D,4,33.07,6419.4,2954.76,0,458.55,Northern-Irl,-11805.6,0,2.4691358024691358,0.14
3107099,2013,01-01-2013,20-12-4971,8,RENT,1,Low,90000,1,10000, 36 months,1,INDIVIDUAL,1,DEBT_CONSOLIDATION,6,Low,1,GOOD LOAN,0,12.12,B,2,17.19,11645.2,9670.75,0,332.72,munster,1645.2,1,9.0000000000000000,0.14
1229896,2012,01-04-2012,13-06-4862,4,MORTGAGE,3,Low,93000,1,25000, 60 months,2,INDIVIDUAL,1,SMALL_BUSINESS,3,High,2,BAD LOAN,1,24.2,G,7,16.14,22710.13,8089.24,2505.35,722.11,cannught,-2289.87,0,3.7200000000000000,0.16
